source,target,type
0,8797,c
0,8418,c
0,8417,c
0,8416,c
0,8415,c
0,8414,c
0,8413,c
0,8412,c
0,8411,c
0,8410,c
0,8409,c
0,8408,c
0,8407,c
0,8406,c
0,8405,c
0,8404,c
0,8403,c
0,8402,c
0,8401,c
0,8400,c
0,8399,c
0,8398,c
0,8397,c
0,8396,c
0,8395,c
0,8394,c
0,8393,c
0,8392,c
0,8391,c
0,8390,c
0,8389,c
0,8388,c
0,8387,c
4,8201,c
4,8200,c
4,8199,c
4,8198,c
4,8197,c
4,8196,c
5877,7862,c
5877,5162,c
5877,398,c
5877,5126,c
5722,8414,c
5722,8413,c
5722,8408,c
5722,8370,c
5722,8394,c
5722,8393,c
5722,8392,c
239,6114,c
239,6113,c
239,6108,c
239,242,c
7167,5229,c
7167,7905,c
7167,7674,c
7167,5282,c
7167,7059,c
7167,6369,c
7167,7645,c
7167,8293,c
7167,101,c
7167,8399,c
7167,8097,c
7167,7860,c
7167,7038,c
7167,7200,c
7167,5269,c
7167,7195,c
7167,7166,c
7167,7098,c
7167,7194,c
7167,7998,c
8392,5701,c
8392,8415,c
8392,8407,c
8392,7069,c
8392,8401,c
8392,7626,c
8392,5829,c
8392,7076,c
8392,177,c
8392,495,c
8392,5846,c
8392,7196,c
8392,4,c
8392,8388,c
8413,5701,c
8413,8353,c
8413,8361,c
8413,8400,c
8413,7626,c
8413,8394,c
8413,5849,c
8413,5699,c
8413,7095,c
8413,8391,c
8413,477,c
8413,8124,c
8413,5704,c
8413,314,c
5146,5128,c
5146,5074,c
5146,626,c
5146,7862,c
5146,5877,c
5146,5131,c
5146,398,c
5146,8095,c
5146,5126,c
5146,403,c
5146,4652,c
4968,4959,c
4968,4969,c
4968,6094,c
4968,439,c
4459,2689,c
4459,4456,c
4459,5877,c
4459,7779,c
4459,2658,c
4459,2000,c
4459,8346,c
4459,1379,c
5415,8190,c
5415,7381,c
5415,8168,c
5415,8170,c
7626,5701,c
7626,5793,c
7626,2693,c
7626,7598,c
7626,5829,c
7626,5859,c
7626,4828,c
7626,5819,c
7626,5844,c
7626,8346,c
7626,8340,c
7626,4100,c
4668,522,c
8097,5229,c
8097,8134,c
8097,7040,c
8097,8163,c
8097,6437,c
8097,4611,c
8097,6628,c
8097,8399,c
8097,7860,c
8097,7038,c
8097,8161,c
8097,132,c
8097,5269,c
8097,8394,c
8097,8131,c
8097,177,c
8097,6363,c
8097,7139,c
8097,7914,c
8097,189,c
8097,6436,c
8097,12,c
8097,1460,c
8346,8323,c
8346,32,c
8346,3747,c
8346,5833,c
8346,6653,c
8346,7749,c
8346,7752,c
8346,7756,c
8346,2658,c
8346,2653,c
8346,5845,c
8346,8051,c
7718,4586,c
7718,687,c
7718,4269,c
