label,x,y,score,class,year,citations,title,doi
Kaiming He et al. (2016),-6251.516,16.494,0.167,0,2016,215357,Deep Residual Learning for Image Recognition,10.1109/cvpr.2016.90
Kaiming He et al. (2017),-7902.923,-1209.551,0.002,0,2017,1511,Mask R-CNN,
Jasper Uijlings et al. (2013),-6490.909,-1813.752,0.016,0,2013,6069,Selective Search for Object Recognition,10.1007/s11263-013-0620-5
A.W.M. Smeulders et al. (2014),-3890.918,-4425.803,0.014,0,2014,1552,Visual Tracking: An Experimental Survey,10.1109/tpami.2013.230
Leo Breiman (2001),984.18,-2100.764,0.012,1,2001,119639,Random Forests,10.1023/a:1010933404324
Leo Breiman (1996),2029.841,-2432.519,0.001,1,1996,16232,Bagging predictors,10.1007/bf00058655
Bill Fulkerson et al. (1995),1869.604,-2015.163,0,1,1995,2188,"Machine Learning, Neural and Statistical Classification",10.2307/1269742
Rong-En Fan et al. (2005),196.396,-1956.157,0,0,2005,1409,Working Set Selection Using Second Order Information for Training Support Vector Machines,
Christopher J. Merz (1996),2174.176,-1726.781,0,1,1996,2336,UCI Repository of Machine Learning Databases,
Ryan Rifkin & Aldebaro Klautau (2004),849.899,-1273.601,0.01,1,2004,1387,In Defense of One-Vs-All Classification,
Koby Crammer & Yoram Singer (2002),-12.369,-980.582,0.005,1,2002,1785,On the algorithmic implementation of multiclass kernel-based vector machines,
Shai Shalev‐Shwartz et al. (2010),-48.848,-530.118,0.007,1,2010,1511,Pegasos: primal estimated sub-gradient solver for SVM,10.1007/s10107-010-0420-4
Richard O. Duda & Peter E. Hart (1973),1530.957,-1810.804,0.047,0,1973,12645,Pattern classification and scene analysis,
Peter E. Hart (1968),2115.755,-1091.79,0.001,1,1968,1712,The condensed nearest neighbor rule (Corresp.),10.1109/tit.1968.1054155
Victoria López et al. (2013),2151.188,-981.211,0.008,1,2013,1556,An insight into classification with imbalanced data: Empirical results and current trends on using data intrinsic characteristics,10.1016/j.ins.2013.07.007
Francisco Herrera & Enrique Herrera‐Viedma (2000),5091.002,-251.112,0.009,1,2000,1555,Linguistic decision analysis: steps for solving decision problems under linguistic information,10.1016/s0165-0114(99)00024-x
L. A. Zadeh (1975),7777.636,291.933,0.003,2,1975,12161,The concept of a linguistic variable and its application to approximate reasoning-III,10.1016/0020-0255(75)90017-1
L. A. Zadeh (1988),7512.572,365.249,0.002,2,1988,1742,Fuzzy logic,10.1109/2.53
Chin‐Teng Lin & C.S.G. Lee (1991),4374.805,868.613,0.054,0,1991,1472,Neural-network-based fuzzy logic control and decision system,10.1109/12.106218
James L. McClelland et al. (1987),2267.456,2757.596,0.022,0,1987,3230,Parallel Distributed Processing,10.7551/mitpress/5237.001.0001
Marius Usher & James L. McClelland (2001),3457.16,4145.629,0.026,3,2001,2146,"The time course of perceptual choice: The leaky, competing accumulator model.",10.1037/0033-295x.108.3.550
Stephen Grossberg (1987),3300.204,2135.489,0.006,0,1987,1464,Competitive Learning: From Interactive Activation to Adaptive Resonance,10.1111/j.1551-6708.1987.tb00862.x
Teuvo Kohonen (1988),2540.299,167.084,0.007,0,1988,3820,Self-Organization and Associative Memory,10.1007/978-3-662-00784-6
Teuvo Kohonen (2012),2200.727,-339.574,0.062,0,2012,1545,Essentials of the self-organizing map,10.1016/j.neunet.2012.09.018
A. D. Gordon & J. A. Hartigan (1976),4343.565,-2318.535,0,1,1976,2601,Clustering Algorithms.,10.2307/2286880
J. A. Hartigan & M. Anthony Wong (1979),3732.583,-2716.506,0,1,1979,14171,Algorithm AS 136: A K-Means Clustering Algorithm,10.2307/2346830
Chris Ding & Xiaofeng He (2004),2228.723,-2455.017,0.001,0,2004,1381,<i>K</i>-means clustering via principal component analysis,10.1145/1015330.1015408
Ian T. Jolliffe (2005),2549.129,-2373.062,0.016,1,2005,14502,Principal Component Analysis,10.1002/0470013192.bsa501
Ian T. Jolliffe (1986),-283.516,-3597.79,0,0,1986,8225,Principal Component Analysis,10.1007/978-1-4757-1904-8
B. Moghaddam & Alex Pentland (1997),-1236.552,-3713.142,0.006,0,1997,1446,Probabilistic visual learning for object representation,10.1109/34.598227
Ming-Kuei Hu (1962),8.688,-3830.113,0,0,1962,7480,Visual pattern recognition by moment invariants,10.1109/tit.1962.1057692
Wanqing Li et al. (2010),-2568.47,-3645.598,0.005,0,2010,1444,Action recognition based on a bag of 3D points,10.1109/cvprw.2010.5543273
Zhengyou Zhang et al. (1995),-1660.486,-4202.327,0.003,0,1995,1361,A robust technique for matching two uncalibrated images through the recovery of the unknown epipolar geometry,10.1016/0004-3702(95)00022-4
Unknown (1993),-2546.577,-1236.475,0,0,1993,14324,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvpr.1993.341010
Jiayi Ma et al. (2018),-2693.34,-4485.767,0,0,2018,1537,Infrared and visible image fusion methods and applications: A survey,10.1016/j.inffus.2018.02.004
Andrew Calway (1996),-2823.582,-681.333,0,0,1996,1565,Proceedings of the IEEE International Conference on Image Processing,
Ziwei Ji et al. (2022),-3074.902,3599.963,0.002,0,2022,2827,Survey of Hallucination in Natural Language Generation,10.1145/3571730
Colin Raffel et al. (2019),-5668.577,3259.286,0.001,0,2019,8315,Exploring the Limits of Transfer Learning with a Unified Text-to-Text\n Transformer,10.48550/arxiv.1910.10683
Abigail See et al. (2017),-3601.146,4763.427,0.008,0,2017,3818,Get To The Point: Summarization with Pointer-Generator Networks,10.18653/v1/p17-1099
Peng Qi et al. (2020),-2797.22,4942.229,0.003,0,2020,1360,Stanza: A Python Natural Language Processing Toolkit for Many Human Languages,10.18653/v1/2020.acl-demos.14
Erik F. Tjong Kim Sang (2002),-2932.374,4924.385,0,0,2002,1574,Introduction to the CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition,10.48550/arxiv.cs/0209010
Zhengyan Zhang et al. (2019),-3739.298,4161.034,0.001,0,2019,1378,ERNIE: Enhanced Language Representation with Informative Entities,10.18653/v1/p19-1139
